Surveillance Week,A(H1N1)pdm09,A(H3N2),A(Unsubtyped),Influenza B,Year,Total Cases,Epiweek,Week Ending
35,1.0,2.0,3.0,3.0,2015,9.0,201535,2015-09-05
36,2.0,11.0,5.0,0.0,2015,18.0,201536,2015-09-12
37,0.0,10.0,4.0,1.0,2015,15.0,201537,2015-09-19
38,0.0,16.0,13.0,0.0,2015,29.0,201538,2015-09-26
39,6.0,34.0,13.0,6.0,2015,59.0,201539,2015-10-03
40,7.0,27.0,11.0,5.0,2015,50.0,201540,2015-10-10
41,4.0,20.0,11.0,2.0,2015,37.0,201541,2015-10-17
42,0.0,15.0,8.0,3.0,2015,26.0,201542,2015-10-24
43,0.0,5.0,16.0,5.0,2015,26.0,201543,2015-10-31
44,5.0,23.0,8.0,4.0,2015,40.0,201544,2015-11-07
45,6.0,13.0,19.0,7.0,2015,45.0,201545,2015-11-14
46,2.0,37.0,11.0,3.0,2015,53.0,201546,2015-11-21
47,8.0,24.0,13.0,7.0,2015,52.0,201547,2015-11-28
48,7.0,8.0,12.0,3.0,2015,30.0,201548,2015-12-05
49,11.0,21.0,23.0,8.0,2015,63.0,201549,2015-12-12
50,36.0,19.0,24.0,16.0,2015,95.0,201550,2015-12-19
51,38.0,17.0,24.0,36.0,2015,115.0,201551,2015-12-26
52,73.0,9.0,59.0,42.0,2015,183.0,201552,2016-01-02
01,138.0,40.0,68.0,68.0,2016,314.0,201601,2016-01-09
02,163.0,40.0,87.0,85.0,2016,375.0,201602,2016-01-16
03,312.0,61.0,108.0,164.0,2016,645.0,201603,2016-01-23
04,483.0,59.0,183.0,208.0,2016,933.0,201604,2016-01-30
05,748.0,54.0,351.0,233.0,2016,1386.0,201605,2016-02-06
06,998.0,84.0,670.0,315.0,2016,2067.0,201606,2016-02-13
07,1101.0,53.0,942.0,388.0,2016,2484.0,201607,2016-02-20
08,1352.0,66.0,1801.0,478.0,2016,3697.0,201608,2016-02-27
09,1270.0,50.0,2264.0,609.0,2016,4193.0,201609,2016-03-05
10,1391.0,54.0,2390.0,820.0,2016,4655.0,201610,2016-03-12
11,1007.0,51.0,2028.0,908.0,2016,3994.0,201611,2016-03-19
12,606.0,36.0,1539.0,951.0,2016,3132.0,201612,2016-03-26
13,529.0,20.0,1258.0,1015.0,2016,2822.0,201613,2016-04-02
14,358.0,36.0,820.0,831.0,2016,2045.0,201614,2016-04-09
15,216.0,21.0,517.0,760.0,2016,1514.0,201615,2016-04-16
16,106.0,16.0,298.0,726.0,2016,1146.0,201616,2016-04-23
17,86.0,15.0,172.0,649.0,2016,922.0,201617,2016-04-30
18,19.0,17.0,110.0,527.0,2016,673.0,201618,2016-05-07
19,35.0,18.0,68.0,432.0,2016,553.0,201619,2016-05-14
20,14.0,8.0,38.0,297.0,2016,357.0,201620,2016-05-21
21,5.0,10.0,17.0,162.0,2016,194.0,201621,2016-05-28
22,1.0,13.0,9.0,97.0,2016,120.0,201622,2016-06-04
23,5.0,5.0,12.0,33.0,2016,55.0,201623,2016-06-11
24,1.0,1.0,5.0,18.0,2016,25.0,201624,2016-06-18
25,4.0,3.0,6.0,11.0,2016,24.0,201625,2016-06-25
26,2.0,3.0,4.0,4.0,2016,13.0,201626,2016-07-02
27,3.0,3.0,5.0,1.0,2016,12.0,201627,2016-07-09
28,2.0,1.0,4.0,3.0,2016,10.0,201628,2016-07-16
29,4.0,6.0,6.0,2.0,2016,18.0,201629,2016-07-23
30,1.0,3.0,2.0,1.0,2016,7.0,201630,2016-07-30
31,0.0,5.0,3.0,1.0,2016,9.0,201631,2016-08-06
32,0.0,4.0,3.0,1.0,2016,8.0,201632,2016-08-13
33,2.0,5.0,5.0,1.0,2016,13.0,201633,2016-08-20
