InfluenzaSeasonandEpidemiologicalWeek,TotalFluTests,PositiveFluAH1N1pdm09,PositiveFluAH3,PositiveFluAunsubtyped,TotalFluBPositive,TotalRSVTests,TotalPositiveRSV,TotalParaTests,TotalPositivePara,TotalAdenoTests,TotalPositiveAdeno,TotalhMPVTests,TotalPositivehMPV,TotalEnteroRhinoTests,TotalPositiveEnteroRhino,TotalCoronaTests,TotalPositiveCorona
201635,1862,0,2,0,0,1861,25,1616,49,1607,26,1468,11,1025,230,1137,5
201636,1632,1,6,2,9,1646,18,1351,23,1373,22,1216,5,859,246,1040,4
201637,2103,0,17,3,3,2117,29,1751,50,1745,24,1616,2,1069,359,1255,7
201638,2538,2,28,11,3,2508,31,2094,60,2099,33,1947,5,1308,429,1546,21
201639,2761,1,41,14,7,2704,35,2212,47,2212,28,2012,3,1374,511,1536,10
201640,2982,1,47,5,3,2957,41,2385,46,2393,38,2243,7,1512,499,1669,18
201641,2875,0,31,10,1,2814,49,2198,60,2261,37,2108,5,1398,402,1576,11
201642,3457,2,49,14,6,3357,71,2652,70,2662,39,2427,7,1550,421,1701,20
201643,3458,1,76,16,2,3326,72,2610,104,2620,44,2447,4,1522,364,1699,40
201644,3891,1,110,19,9,3732,125,2784,91,2786,33,2590,10,1624,363,1853,48
201645,4267,2,150,31,11,4105,182,3008,97,3037,65,2876,19,2223,491,2478,68
201646,4621,3,140,52,7,4271,225,3004,133,3013,77,2851,15,2543,501,2740,91
201647,4732,0,200,45,9,4316,375,3054,133,3061,85,2875,20,2585,422,2762,90
201648,5547,3,272,91,7,5048,478,3452,137,3499,117,3287,29,2893,387,3114,134
201649,5932,2,414,141,12,5440,667,3710,147,3720,90,3510,28,3135,410,3429,178
201650,6858,1,467,297,18,6210,819,3974,168,3979,105,3838,60,3322,339,3643,220
201651,8102,1,750,535,17,7386,1125,4413,160,4412,100,4235,70,3820,347,4100,274
201652,8461,3,1064,852,33,7383,1314,4389,173,4400,87,4226,85,3719,232,4099,276
201701,11770,1,1360,1438,38,10451,1632,5881,206,5943,101,5795,132,5090,288,5641,416
201702,13574,10,2118,1510,39,11574,1626,6770,209,6773,100,6585,150,5980,306,6413,506
201703,12102,5,1412,1350,47,10408,1619,5946,154,5941,81,5891,182,5157,229,5682,445
201704,11367,1,1220,1334,47,10220,1623,5460,167,5396,99,5321,137,4662,267,5144,375
201705,10651,8,1290,1222,62,9344,1526,4714,164,4708,91,4557,135,3892,247,4395,281
201706,10423,9,1225,1200,81,9218,1410,4825,140,4852,88,4722,136,4059,268,4515,381
201707,10199,11,1141,1291,97,8680,1348,4476,144,4475,72,4395,141,3657,273,4184,335
201708,9937,17,899,1344,128,8922,1198,4173,134,4171,76,4019,151,3366,229,3768,255
201709,9560,7,935,977,159,8704,1069,4324,145,4313,78,4239,201,3534,318,4011,306
201710,8535,14,726,802,203,7739,873,3730,156,3730,83,3645,173,3000,285,3382,282
201711,7603,13,347,629,242,6963,700,3709,170,3699,86,3623,179,2994,283,3356,269
201712,7053,1,259,498,302,6534,575,3655,181,3662,78,3589,211,2938,297,3261,228
201713,6236,5,221,369,309,5611,479,3299,172,3298,70,3226,190,2642,258,2964,242
201714,6143,6,134,273,365,5662,357,3419,214,3372,78,3276,200,2679,331,3041,237
201715,5148,5,73,216,321,4831,258,2819,148,2826,74,2740,196,2191,315,2553,141
201716,5000,9,59,167,347,4678,206,2802,189,2800,90,2697,193,2254,363,2547,127
201717,4807,2,39,112,316,4521,176,2923,226,2878,73,2722,179,2296,420,2596,90
201718,4161,5,49,62,283,4012,114,2712,171,2700,78,2529,161,2176,398,2429,73
201719,3891,0,30,36,259,3681,90,2433,142,2434,64,2321,119,1912,415,2164,40
201720,3870,2,26,13,228,3683,78,2472,174,2475,83,2322,155,1982,486,2192,55
201721,3220,0,12,13,168,3102,38,2305,150,2309,81,2202,115,1856,480,2111,50
201722,2989,7,14,9,94,2893,25,2190,131,2171,75,2078,112,1751,416,1972,35
201723,2696,1,8,13,75,2581,20,2002,103,2001,51,1892,85,1593,359,1779,17
201724,2556,1,4,4,48,2501,24,1874,108,1880,70,1789,61,1424,381,1679,21
201725,2150,1,3,7,29,2122,9,1659,72,1662,46,1560,41,1107,264,1354,12
201726,1939,1,3,9,21,1920,7,1521,86,1525,37,1424,38,932,237,1097,4
201727,2016,4,23,9,21,1980,6,1536,58,1544,46,1446,34,910,267,1184,5
201728,2043,0,8,5,12,2013,7,1648,69,1646,43,1563,18,994,252,1255,7
201729,1813,3,16,6,2,1806,2,1463,55,1465,44,1378,15,902,203,1209,2
201730,1710,2,13,7,3,1683,5,1346,59,1348,36,1270,15,824,173,1054,4
201731,1655,3,16,7,6,1644,6,1328,43,1332,31,1257,17,786,157,1075,6
201732,1615,1,9,5,4,1591,6,1354,36,1354,24,1302,7,844,220,1146,10
201733,1659,0,9,16,3,1639,10,1385,40,1381,32,1286,9,876,193,1136,4
201734,1680,0,7,10,1,1668,7,1356,49,1370,20,1323,14,863,185,1095,3
"Source: Influenza and Respiratory Infectious Diseases Database System (IRIDDS) (accessed January 2018), FluWatch Program, Public Health Agency of Canada. ",,,,,,,,,,,,,,,,,
"Data were provided by 32 sentinel laboratories (Newfoundland (1), Prince Edward Island (1), Nova Scotia (1), New Brunswick (1), Quebec (6), Ontario (17), Manitoba (1), Saskatchewan (2), Alberta (1), and British Columbia (1)) participating",,,,,,,,,,,,,,,,,
in the FluWatch Respiratory Virus Detection Surveillance System (RVDSS).,,,,,,,,,,,,,,,,,
