Category: All categories

Month,coronavirus: (Canada)
2015-01,<1
2015-02,<1
2015-03,<1
2015-04,<1
2015-05,<1
2015-06,<1
2015-07,<1
2015-08,<1
2015-09,<1
2015-10,<1
2015-11,<1
2015-12,<1
2016-01,<1
2016-02,<1
2016-03,<1
2016-04,<1
2016-05,0
2016-06,<1
2016-07,<1
2016-08,<1
2016-09,<1
2016-10,<1
2016-11,<1
2016-12,<1
2017-01,<1
2017-02,<1
2017-03,<1
2017-04,<1
2017-05,<1
2017-06,<1
2017-07,<1
2017-08,<1
2017-09,<1
2017-10,<1
2017-11,<1
2017-12,<1
2018-01,<1
2018-02,<1
2018-03,<1
2018-04,<1
2018-05,<1
2018-06,<1
2018-07,<1
2018-08,<1
2018-09,<1
2018-10,<1
2018-11,<1
2018-12,<1
2019-01,<1
2019-02,<1
2019-03,<1
2019-04,<1
2019-05,<1
2019-06,<1
2019-07,0
2019-08,<1
2019-09,0
2019-10,<1
2019-11,<1
2019-12,<1
2020-01,11
2020-02,17
2020-03,100
2020-04,71
2020-05,23
2020-06,15
2020-07,13
2020-08,8
2020-09,8
2020-10,8
2020-11,7
2020-12,7
2021-01,6
2021-02,4
2021-03,4
2021-04,5
2021-05,4
2021-06,3
2021-07,3
2021-08,4
2021-09,3
2021-10,2
2021-11,2
2021-12,3
2022-01,2
2022-02,1
2022-03,1
2022-04,1
2022-05,<1
2022-06,<1
2022-07,<1
2022-08,<1
2022-09,<1
2022-10,<1
2022-11,<1
