Category: All categories,

Month,lockdown: (Canada)
Jan-15,1
Feb-15,1
Mar-15,1
Apr-15,1
May-15,1
Jun-15,1
Jul-15,1
Aug-15,1
Sep-15,2
Oct-15,3
Nov-15,2
Dec-15,1
Jan-16,1
Feb-16,1
Mar-16,1
Apr-16,2
May-16,1
Jun-16,3
Jul-16,1
Aug-16,1
Sep-16,1
Oct-16,2
Nov-16,1
Dec-16,1
Jan-17,1
Feb-17,1
Mar-17,1
Apr-17,1
May-17,1
Jun-17,1
Jul-17,1
Aug-17,1
Sep-17,1
Oct-17,1
Nov-17,1
Dec-17,1
Jan-18,1
Feb-18,1
Mar-18,1
Apr-18,1
May-18,1
Jun-18,1
Jul-18,1
Aug-18,1
Sep-18,1
Oct-18,1
Nov-18,1
Dec-18,2
Jan-19,1
Feb-19,1
Mar-19,1
Apr-19,1
May-19,1
Jun-19,1
Jul-19,1
Aug-19,1
Sep-19,1
Oct-19,1
Nov-19,1
Dec-19,1
Jan-20,1
Feb-20,2
Mar-20,39
Apr-20,22
May-20,13
Jun-20,6
Jul-20,5
Aug-20,4
Sep-20,7
Oct-20,10
Nov-20,51
Dec-20,100
Jan-21,80
Feb-21,49
Mar-21,34
Apr-21,89
May-21,51
Jun-21,16
Jul-21,6
Aug-21,9
Sep-21,9
Oct-21,7
Nov-21,8
Dec-21,24
Jan-22,24
Feb-22,6
Mar-22,4
Apr-22,6
May-22,3
Jun-22,2
Jul-22,2
Aug-22,2
Sep-22,3
Oct-22,2
Nov-22,2
