Category: All categories

Month,mask: (Canada)
2015-01,12
2015-02,14
2015-03,14
2015-04,12
2015-05,11
2015-06,11
2015-07,11
2015-08,13
2015-09,12
2015-10,18
2015-11,12
2015-12,13
2016-01,14
2016-02,13
2016-03,13
2016-04,13
2016-05,14
2016-06,12
2016-07,12
2016-08,12
2016-09,15
2016-10,21
2016-11,15
2016-12,17
2017-01,20
2017-02,18
2017-03,20
2017-04,20
2017-05,18
2017-06,17
2017-07,16
2017-08,18
2017-09,17
2017-10,21
2017-11,17
2017-12,18
2018-01,18
2018-02,17
2018-03,17
2018-04,16
2018-05,15
2018-06,15
2018-07,15
2018-08,17
2018-09,16
2018-10,21
2018-11,17
2018-12,17
2019-01,17
2019-02,18
2019-03,16
2019-04,17
2019-05,15
2019-06,14
2019-07,15
2019-08,16
2019-09,15
2019-10,20
2019-11,17
2019-12,18
2020-01,32
2020-02,32
2020-03,59
2020-04,100
2020-05,77
2020-06,52
2020-07,87
2020-08,80
2020-09,62
2020-10,51
2020-11,54
2020-12,40
2021-01,38
2021-02,38
2021-03,34
2021-04,40
2021-05,30
2021-06,27
2021-07,30
2021-08,32
2021-09,33
2021-10,32
2021-11,25
2021-12,39
2022-01,47
2022-02,33
2022-03,49
2022-04,28
2022-05,23
2022-06,23
2022-07,20
2022-08,20
2022-09,20
2022-10,25
2022-11,25
