Category: All categories

Month,vaccine: (Canada)
2015-01,1
2015-02,2
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,1
2018-02,1
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,2
2018-11,1
2018-12,1
2019-01,1
2019-02,2
2019-03,2
2019-04,2
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,2
2019-11,2
2019-12,1
2020-01,2
2020-02,2
2020-03,6
2020-04,6
2020-05,5
2020-06,3
2020-07,5
2020-08,5
2020-09,5
2020-10,6
2020-11,10
2020-12,21
2021-01,19
2021-02,20
2021-03,58
2021-04,100
2021-05,96
2021-06,91
2021-07,46
2021-08,54
2021-09,69
2021-10,44
2021-11,29
2021-12,44
2022-01,41
2022-02,16
2022-03,9
2022-04,9
2022-05,7
2022-06,8
2022-07,9
2022-08,8
2022-09,9
2022-10,10
2022-11,8
