Category: All categories

Month,chills: (Canada)
2015-01,51
2015-02,49
2015-03,46
2015-04,48
2015-05,30
2015-06,36
2015-07,31
2015-08,36
2015-09,31
2015-10,39
2015-11,40
2015-12,42
2016-01,49
2016-02,61
2016-03,57
2016-04,51
2016-05,41
2016-06,38
2016-07,32
2016-08,32
2016-09,42
2016-10,35
2016-11,41
2016-12,58
2017-01,55
2017-02,50
2017-03,58
2017-04,50
2017-05,50
2017-06,46
2017-07,46
2017-08,41
2017-09,40
2017-10,43
2017-11,44
2017-12,54
2018-01,73
2018-02,66
2018-03,61
2018-04,48
2018-05,40
2018-06,42
2018-07,38
2018-08,44
2018-09,41
2018-10,53
2018-11,48
2018-12,60
2019-01,65
2019-02,65
2019-03,65
2019-04,61
2019-05,54
2019-06,49
2019-07,39
2019-08,45
2019-09,44
2019-10,47
2019-11,51
2019-12,68
2020-01,77
2020-02,71
2020-03,91
2020-04,75
2020-05,53
2020-06,44
2020-07,51
2020-08,52
2020-09,54
2020-10,54
2020-11,53
2020-12,61
2021-01,61
2021-02,54
2021-03,61
2021-04,68
2021-05,66
2021-06,56
2021-07,70
2021-08,49
2021-09,51
2021-10,51
2021-11,55
2021-12,78
2022-01,100
2022-02,61
2022-03,65
2022-04,73
2022-05,64
2022-06,59
2022-07,70
2022-08,54
2022-09,56
2022-10,67
2022-11,84
