Category: All categories

Month,flu: (Canada)
2015-01,19
2015-02,14
2015-03,11
2015-04,10
2015-05,7
2015-06,5
2015-07,4
2015-08,5
2015-09,7
2015-10,20
2015-11,19
2015-12,13
2016-01,14
2016-02,15
2016-03,15
2016-04,10
2016-05,8
2016-06,5
2016-07,5
2016-08,4
2016-09,8
2016-10,21
2016-11,23
2016-12,18
2017-01,22
2017-02,14
2017-03,11
2017-04,8
2017-05,6
2017-06,5
2017-07,5
2017-08,5
2017-09,8
2017-10,24
2017-11,25
2017-12,21
2018-01,33
2018-02,31
2018-03,15
2018-04,10
2018-05,7
2018-06,6
2018-07,5
2018-08,5
2018-09,10
2018-10,29
2018-11,27
2018-12,22
2019-01,27
2019-02,16
2019-03,15
2019-04,11
2019-05,7
2019-06,6
2019-07,5
2019-08,5
2019-09,11
2019-10,31
2019-11,29
2019-12,23
2020-01,36
2020-02,34
2020-03,100
2020-04,49
2020-05,22
2020-06,14
2020-07,15
2020-08,14
2020-09,27
2020-10,82
2020-11,46
2020-12,26
2021-01,15
2021-02,12
2021-03,11
2021-04,13
2021-05,10
2021-06,9
2021-07,7
2021-08,9
2021-09,14
2021-10,40
2021-11,31
2021-12,25
2022-01,20
2022-02,10
2022-03,10
2022-04,14
2022-05,11
2022-06,9
2022-07,9
2022-08,7
2022-09,11
2022-10,38
2022-11,56
