Category: All categories

Month,headache: (Canada)
2015-01,57
2015-02,59
2015-03,56
2015-04,56
2015-05,55
2015-06,53
2015-07,53
2015-08,56
2015-09,57
2015-10,57
2015-11,59
2015-12,59
2016-01,65
2016-02,64
2016-03,67
2016-04,60
2016-05,58
2016-06,59
2016-07,60
2016-08,56
2016-09,61
2016-10,63
2016-11,60
2016-12,62
2017-01,69
2017-02,67
2017-03,76
2017-04,64
2017-05,63
2017-06,63
2017-07,60
2017-08,66
2017-09,62
2017-10,66
2017-11,72
2017-12,68
2018-01,76
2018-02,74
2018-03,67
2018-04,70
2018-05,65
2018-06,63
2018-07,64
2018-08,67
2018-09,67
2018-10,73
2018-11,71
2018-12,75
2019-01,74
2019-02,70
2019-03,75
2019-04,74
2019-05,65
2019-06,65
2019-07,72
2019-08,70
2019-09,68
2019-10,64
2019-11,67
2019-12,71
2020-01,75
2020-02,74
2020-03,94
2020-04,86
2020-05,75
2020-06,73
2020-07,77
2020-08,73
2020-09,76
2020-10,82
2020-11,79
2020-12,85
2021-01,85
2021-02,83
2021-03,81
2021-04,88
2021-05,84
2021-06,72
2021-07,77
2021-08,75
2021-09,86
2021-10,75
2021-11,73
2021-12,72
2022-01,100
2022-02,83
2022-03,72
2022-04,81
2022-05,71
2022-06,72
2022-07,80
2022-08,77
2022-09,72
2022-10,78
2022-11,95
