Category: All categories

Month,vomiting: (Canada)
2015-01,73
2015-02,77
2015-03,69
2015-04,64
2015-05,65
2015-06,61
2015-07,60
2015-08,60
2015-09,59
2015-10,57
2015-11,58
2015-12,81
2016-01,78
2016-02,83
2016-03,76
2016-04,63
2016-05,65
2016-06,62
2016-07,68
2016-08,60
2016-09,57
2016-10,63
2016-11,69
2016-12,95
2017-01,90
2017-02,91
2017-03,81
2017-04,74
2017-05,63
2017-06,62
2017-07,59
2017-08,61
2017-09,61
2017-10,61
2017-11,63
2017-12,86
2018-01,85
2018-02,84
2018-03,77
2018-04,80
2018-05,69
2018-06,65
2018-07,73
2018-08,63
2018-09,65
2018-10,70
2018-11,71
2018-12,90
2019-01,81
2019-02,88
2019-03,85
2019-04,82
2019-05,73
2019-06,60
2019-07,62
2019-08,62
2019-09,68
2019-10,64
2019-11,68
2019-12,86
2020-01,88
2020-02,84
2020-03,80
2020-04,64
2020-05,65
2020-06,62
2020-07,72
2020-08,71
2020-09,65
2020-10,63
2020-11,67
2020-12,63
2021-01,68
2021-02,66
2021-03,67
2021-04,68
2021-05,68
2021-06,67
2021-07,79
2021-08,74
2021-09,70
2021-10,75
2021-11,75
2021-12,81
2022-01,90
2022-02,87
2022-03,100
2022-04,100
2022-05,92
2022-06,83
2022-07,92
2022-08,82
2022-09,71
2022-10,87
2022-11,88
