Category: All categories

Month,COVID: (Canada)
2015-01,0
2015-02,<1
2015-03,0
2015-04,<1
2015-05,0
2015-06,0
2015-07,<1
2015-08,0
2015-09,0
2015-10,0
2015-11,<1
2015-12,0
2016-01,<1
2016-02,0
2016-03,0
2016-04,0
2016-05,<1
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,<1
2016-12,<1
2017-01,<1
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,<1
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,<1
2019-01,0
2019-02,0
2019-03,0
2019-04,<1
2019-05,<1
2019-06,<1
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,1
2020-03,83
2020-04,82
2020-05,53
2020-06,41
2020-07,48
2020-08,41
2020-09,57
2020-10,60
2020-11,71
2020-12,74
2021-01,62
2021-02,51
2021-03,65
2021-04,100
2021-05,86
2021-06,65
2021-07,46
2021-08,61
2021-09,65
2021-10,48
2021-11,41
2021-12,95
2022-01,78
2022-02,34
2022-03,24
2022-04,26
2022-05,14
2022-06,12
2022-07,16
2022-08,11
2022-09,11
2022-10,11
2022-11,9
