Category: All categories

Month,body aches: (Canada)
2015-01,43
2015-02,28
2015-03,39
2015-04,32
2015-05,30
2015-06,38
2015-07,27
2015-08,30
2015-09,32
2015-10,35
2015-11,31
2015-12,31
2016-01,44
2016-02,54
2016-03,49
2016-04,42
2016-05,31
2016-06,31
2016-07,34
2016-08,31
2016-09,40
2016-10,35
2016-11,36
2016-12,47
2017-01,54
2017-02,49
2017-03,41
2017-04,47
2017-05,39
2017-06,33
2017-07,31
2017-08,39
2017-09,33
2017-10,37
2017-11,37
2017-12,47
2018-01,57
2018-02,54
2018-03,47
2018-04,27
2018-05,35
2018-06,32
2018-07,36
2018-08,33
2018-09,41
2018-10,37
2018-11,48
2018-12,43
2019-01,47
2019-02,49
2019-03,51
2019-04,53
2019-05,37
2019-06,33
2019-07,37
2019-08,35
2019-09,50
2019-10,36
2019-11,36
2019-12,61
2020-01,76
2020-02,53
2020-03,88
2020-04,54
2020-05,42
2020-06,43
2020-07,39
2020-08,46
2020-09,43
2020-10,39
2020-11,49
2020-12,49
2021-01,46
2021-02,48
2021-03,45
2021-04,54
2021-05,48
2021-06,53
2021-07,56
2021-08,44
2021-09,54
2021-10,46
2021-11,46
2021-12,74
2022-01,93
2022-02,57
2022-03,57
2022-04,75
2022-05,64
2022-06,65
2022-07,85
2022-08,67
2022-09,69
2022-10,76
2022-11,100
