Category: All categories

Month,cough: (Canada)
2015-01,43
2015-02,36
2015-03,33
2015-04,31
2015-05,26
2015-06,23
2015-07,20
2015-08,21
2015-09,27
2015-10,37
2015-11,36
2015-12,38
2016-01,40
2016-02,44
2016-03,42
2016-04,32
2016-05,30
2016-06,26
2016-07,22
2016-08,20
2016-09,29
2016-10,37
2016-11,38
2016-12,43
2017-01,46
2017-02,38
2017-03,37
2017-04,35
2017-05,32
2017-06,29
2017-07,27
2017-08,25
2017-09,31
2017-10,34
2017-11,38
2017-12,45
2018-01,47
2018-02,44
2018-03,37
2018-04,34
2018-05,36
2018-06,27
2018-07,24
2018-08,23
2018-09,33
2018-10,39
2018-11,38
2018-12,48
2019-01,44
2019-02,45
2019-03,43
2019-04,41
2019-05,32
2019-06,30
2019-07,27
2019-08,26
2019-09,34
2019-10,40
2019-11,45
2019-12,56
2020-01,58
2020-02,46
2020-03,85
2020-04,38
2020-05,23
2020-06,19
2020-07,21
2020-08,23
2020-09,29
2020-10,32
2020-11,29
2020-12,29
2021-01,24
2021-02,22
2021-03,24
2021-04,28
2021-05,25
2021-06,22
2021-07,26
2021-08,34
2021-09,45
2021-10,45
2021-11,42
2021-12,54
2022-01,63
2022-02,32
2022-03,38
2022-04,59
2022-05,59
2022-06,62
2022-07,59
2022-08,47
2022-09,55
2022-10,79
2022-11,100
