Category: All categories

Month,diarrhea: (Canada)
2015-01,68
2015-02,69
2015-03,72
2015-04,69
2015-05,69
2015-06,68
2015-07,73
2015-08,72
2015-09,64
2015-10,59
2015-11,60
2015-12,73
2016-01,73
2016-02,72
2016-03,69
2016-04,67
2016-05,71
2016-06,71
2016-07,77
2016-08,74
2016-09,67
2016-10,65
2016-11,60
2016-12,72
2017-01,73
2017-02,73
2017-03,75
2017-04,73
2017-05,73
2017-06,78
2017-07,97
2017-08,81
2017-09,71
2017-10,70
2017-11,69
2017-12,79
2018-01,82
2018-02,78
2018-03,81
2018-04,81
2018-05,82
2018-06,78
2018-07,85
2018-08,99
2018-09,80
2018-10,75
2018-11,72
2018-12,87
2019-01,79
2019-02,81
2019-03,90
2019-04,81
2019-05,82
2019-06,75
2019-07,81
2019-08,84
2019-09,73
2019-10,72
2019-11,70
2019-12,80
2020-01,82
2020-02,82
2020-03,95
2020-04,70
2020-05,71
2020-06,80
2020-07,90
2020-08,93
2020-09,80
2020-10,76
2020-11,81
2020-12,71
2021-01,75
2021-02,65
2021-03,69
2021-04,79
2021-05,83
2021-06,82
2021-07,87
2021-08,99
2021-09,85
2021-10,72
2021-11,76
2021-12,77
2022-01,90
2022-02,78
2022-03,86
2022-04,92
2022-05,89
2022-06,88
2022-07,100
2022-08,99
2022-09,94
2022-10,80
2022-11,91
