Category: All categories

Month,fatigue: (Canada)
2015-01,79
2015-02,85
2015-03,89
2015-04,88
2015-05,80
2015-06,86
2015-07,76
2015-08,81
2015-09,74
2015-10,78
2015-11,80
2015-12,71
2016-01,75
2016-02,82
2016-03,91
2016-04,86
2016-05,90
2016-06,87
2016-07,79
2016-08,80
2016-09,80
2016-10,77
2016-11,83
2016-12,72
2017-01,82
2017-02,89
2017-03,93
2017-04,87
2017-05,85
2017-06,87
2017-07,81
2017-08,86
2017-09,81
2017-10,82
2017-11,79
2017-12,70
2018-01,93
2018-02,89
2018-03,90
2018-04,86
2018-05,93
2018-06,88
2018-07,84
2018-08,88
2018-09,84
2018-10,87
2018-11,80
2018-12,77
2019-01,82
2019-02,84
2019-03,88
2019-04,90
2019-05,84
2019-06,83
2019-07,87
2019-08,78
2019-09,77
2019-10,82
2019-11,80
2019-12,78
2020-01,82
2020-02,91
2020-03,85
2020-04,71
2020-05,81
2020-06,80
2020-07,91
2020-08,89
2020-09,84
2020-10,89
2020-11,91
2020-12,77
2021-01,81
2021-02,86
2021-03,95
2021-04,98
2021-05,99
2021-06,84
2021-07,84
2021-08,86
2021-09,85
2021-10,80
2021-11,77
2021-12,77
2022-01,98
2022-02,93
2022-03,96
2022-04,100
2022-05,91
2022-06,95
2022-07,98
2022-08,90
2022-09,94
2022-10,88
2022-11,88
