Category: All categories

Month,fever: (Canada)
2015-01,36
2015-02,37
2015-03,37
2015-04,39
2015-05,36
2015-06,29
2015-07,27
2015-08,30
2015-09,29
2015-10,29
2015-11,29
2015-12,34
2016-01,36
2016-02,49
2016-03,44
2016-04,33
2016-05,32
2016-06,29
2016-07,29
2016-08,28
2016-09,29
2016-10,32
2016-11,31
2016-12,36
2017-01,45
2017-02,40
2017-03,38
2017-04,34
2017-05,34
2017-06,33
2017-07,31
2017-08,28
2017-09,33
2017-10,30
2017-11,34
2017-12,41
2018-01,47
2018-02,49
2018-03,43
2018-04,34
2018-05,33
2018-06,32
2018-07,28
2018-08,31
2018-09,30
2018-10,32
2018-11,34
2018-12,47
2019-01,44
2019-02,37
2019-03,39
2019-04,36
2019-05,30
2019-06,34
2019-07,28
2019-08,28
2019-09,30
2019-10,29
2019-11,31
2019-12,48
2020-01,53
2020-02,58
2020-03,100
2020-04,52
2020-05,34
2020-06,29
2020-07,33
2020-08,33
2020-09,38
2020-10,39
2020-11,31
2020-12,34
2021-01,29
2021-02,28
2021-03,28
2021-04,38
2021-05,33
2021-06,31
2021-07,37
2021-08,34
2021-09,36
2021-10,39
2021-11,33
2021-12,52
2022-01,62
2022-02,37
2022-03,43
2022-04,52
2022-05,48
2022-06,51
2022-07,55
2022-08,45
2022-09,45
2022-10,54
2022-11,80
