Category: All categories

Month,quarantine: (Canada)
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,1
2018-02,1
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,1
2018-11,1
2018-12,1
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,4
2020-02,9
2020-03,100
2020-04,75
2020-05,41
2020-06,29
2020-07,27
2020-08,26
2020-09,21
2020-10,22
2020-11,22
2020-12,25
2021-01,25
2021-02,32
2021-03,28
2021-04,27
2021-05,25
2021-06,34
2021-07,22
2021-08,19
2021-09,15
2021-10,12
2021-11,10
2021-12,23
2022-01,27
2022-02,12
2022-03,10
2022-04,12
2022-05,7
2022-06,7
2022-07,9
2022-08,8
2022-09,7
2022-10,3
2022-11,3
