Category: All categories

Month,runny nose: (Canada)
2015-01,27
2015-02,26
2015-03,26
2015-04,24
2015-05,21
2015-06,19
2015-07,14
2015-08,20
2015-09,26
2015-10,23
2015-11,18
2015-12,23
2016-01,24
2016-02,25
2016-03,27
2016-04,25
2016-05,21
2016-06,18
2016-07,16
2016-08,15
2016-09,27
2016-10,23
2016-11,19
2016-12,28
2017-01,30
2017-02,34
2017-03,29
2017-04,25
2017-05,24
2017-06,20
2017-07,20
2017-08,16
2017-09,26
2017-10,23
2017-11,22
2017-12,24
2018-01,33
2018-02,30
2018-03,29
2018-04,22
2018-05,22
2018-06,23
2018-07,19
2018-08,17
2018-09,28
2018-10,24
2018-11,24
2018-12,31
2019-01,32
2019-02,28
2019-03,32
2019-04,29
2019-05,25
2019-06,23
2019-07,15
2019-08,17
2019-09,28
2019-10,24
2019-11,23
2019-12,30
2020-01,33
2020-02,33
2020-03,100
2020-04,41
2020-05,24
2020-06,25
2020-07,31
2020-08,41
2020-09,70
2020-10,73
2020-11,48
2020-12,44
2021-01,36
2021-02,38
2021-03,37
2021-04,48
2021-05,40
2021-06,36
2021-07,40
2021-08,61
2021-09,79
2021-10,64
2021-11,59
2021-12,80
2022-01,64
2022-02,37
2022-03,46
2022-04,59
2022-05,59
2022-06,52
2022-07,44
2022-08,39
2022-09,65
2022-10,55
2022-11,59
