Category: All categories

Month,sore throat: (Canada)
2015-01,41
2015-02,37
2015-03,35
2015-04,34
2015-05,31
2015-06,30
2015-07,28
2015-08,25
2015-09,34
2015-10,31
2015-11,28
2015-12,35
2016-01,35
2016-02,38
2016-03,39
2016-04,35
2016-05,34
2016-06,30
2016-07,29
2016-08,25
2016-09,34
2016-10,34
2016-11,30
2016-12,42
2017-01,40
2017-02,36
2017-03,37
2017-04,36
2017-05,37
2017-06,35
2017-07,30
2017-08,27
2017-09,34
2017-10,32
2017-11,34
2017-12,43
2018-01,41
2018-02,40
2018-03,40
2018-04,35
2018-05,33
2018-06,33
2018-07,29
2018-08,26
2018-09,36
2018-10,34
2018-11,35
2018-12,44
2019-01,41
2019-02,36
2019-03,38
2019-04,38
2019-05,37
2019-06,35
2019-07,30
2019-08,26
2019-09,37
2019-10,35
2019-11,33
2019-12,45
2020-01,45
2020-02,45
2020-03,100
2020-04,50
2020-05,32
2020-06,32
2020-07,38
2020-08,36
2020-09,50
2020-10,46
2020-11,36
2020-12,34
2021-01,26
2021-02,25
2021-03,29
2021-04,34
2021-05,28
2021-06,24
2021-07,30
2021-08,43
2021-09,54
2021-10,47
2021-11,48
2021-12,63
2022-01,74
2022-02,37
2022-03,48
2022-04,65
2022-05,54
2022-06,65
2022-07,63
2022-08,55
2022-09,63
2022-10,64
2022-11,78
